16:7:46 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
16:12:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
16:22:18	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
16:48:51	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:0:41 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:16:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:21:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:26:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:31:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:36:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:41:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
17:46:46	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:21:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:26:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:31:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:36:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:41:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:46:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:51:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
18:56:9 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
19:21:11	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
19:26:11	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
19:31:11	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
19:36:11	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0
19:41:56	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
19:51:6 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:0:12 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:5:12 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:10:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:15:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:20:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:25:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:30:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:35:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:40:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:45:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:50:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  1
20:55:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:0:12 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:5:12 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:10:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:15:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:20:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
21:25:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:30:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:35:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:40:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
21:45:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:50:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
21:55:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:0:12 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
22:5:12 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
22:10:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:15:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:20:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:25:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:30:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:35:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:40:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:45:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:50:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
22:55:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:0:13 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:5:13 	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:10:13	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
23:15:13	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:20:13	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
23:25:13	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (0):  0
23:42:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:47:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:52:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
23:57:12	SERVIDOR_1   (0):  0	SERVIDOR_2   (0):  0	SERVIDOR_612 (1):  0
